INSTCODE,NAME OF THE INSTITUTION,TYPE,INST_REG,DIST,PLACE,COED,AFFL.,ESTD,A_REG,branch_code,COLLFEE,cutoff_rank,category,gender
ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EG,GOLLAPROLU,COED,JNTUK,2008.0,AU,CIV,43000,146103.0,OC,BOYS
ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EG,GOLLAPROLU,COED,JNTUK,2008.0,AU,CSE,43000,128861.0,OC,BOYS
ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EG,GOLLAPROLU,COED,JNTUK,2008.0,AU,ECE,43000,161894.0,OC,BOYS
ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EG,GOLLAPROLU,COED,JNTUK,2008.0,AU,MEC,43000,152545.0,OC,BOYS
ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2004.0,AU,CIV,53500,71458.0,OC,BOYS
ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2004.0,AU,CSD,53500,38871.0,OC,BOYS
ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2004.0,AU,CSE,53500,25298.0,OC,BOYS
ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2004.0,AU,CSM,53500,32023.0,OC,BOYS
ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2004.0,AU,ECE,53500,42426.0,OC,BOYS
ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2004.0,AU,EEE,53500,49158.0,OC,BOYS
ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2004.0,AU,INF,53500,37216.0,OC,BOYS
ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2004.0,AU,MEC,53500,65182.0,OC,BOYS
ACPS,ADITYA COLLEGE OF PHARMACY,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2006.0,AU,PHD,38000,80115.0,OC,BOYS
ANURSF,ADI KAVI NANNAYA UNIVERSITY COLLEGE OF ENGG.-SELF FINANCE,SF,AU,EG,RAJAHMUNDRY,COED,AKNU,2016.0,AU,CIV,35000,107746.0,OC,BOYS
ANURSF,ADI KAVI NANNAYA UNIVERSITY COLLEGE OF ENGG.-SELF FINANCE,SF,AU,EG,RAJAHMUNDRY,COED,AKNU,2016.0,AU,CSE,35000,41808.0,OC,BOYS
ANURSF,ADI KAVI NANNAYA UNIVERSITY COLLEGE OF ENGG.-SELF FINANCE,SF,AU,EG,RAJAHMUNDRY,COED,AKNU,2016.0,AU,ECE,35000,39968.0,OC,BOYS
ANURSF,ADI KAVI NANNAYA UNIVERSITY COLLEGE OF ENGG.-SELF FINANCE,SF,AU,EG,RAJAHMUNDRY,COED,AKNU,2016.0,AU,EIE,35000,101020.0,OC,BOYS
ANURSF,ADI KAVI NANNAYA UNIVERSITY COLLEGE OF ENGG.-SELF FINANCE,SF,AU,EG,RAJAHMUNDRY,COED,AKNU,2016.0,AU,MEC,35000,101368.0,OC,BOYS
APCS,ADITYA PHARMACY COLLEGE,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2004.0,AU,PHD,65000,76005.0,OC,BOYS
BVCE,B V CHALAMAIAH ENGINEERING COLLEGE,PVT,AU,EG,ODALAREVU,COED,JNTUK,1997.0,AU,AIM,48800,68839.0,OC,BOYS
BVCE,B V CHALAMAIAH ENGINEERING COLLEGE,PVT,AU,EG,ODALAREVU,COED,JNTUK,1997.0,AU,CAD,48800,67481.0,OC,BOYS
BVCE,B V CHALAMAIAH ENGINEERING COLLEGE,PVT,AU,EG,ODALAREVU,COED,JNTUK,1997.0,AU,CIV,48800,126892.0,OC,BOYS
BVCE,B V CHALAMAIAH ENGINEERING COLLEGE,PVT,AU,EG,ODALAREVU,COED,JNTUK,1997.0,AU,CSE,48800,56054.0,OC,BOYS
BVCE,B V CHALAMAIAH ENGINEERING COLLEGE,PVT,AU,EG,ODALAREVU,COED,JNTUK,1997.0,AU,CSM,48800,63316.0,OC,BOYS
BVCE,B V CHALAMAIAH ENGINEERING COLLEGE,PVT,AU,EG,ODALAREVU,COED,JNTUK,1997.0,AU,ECE,48800,82990.0,OC,BOYS
BVCE,B V CHALAMAIAH ENGINEERING COLLEGE,PVT,AU,EG,ODALAREVU,COED,JNTUK,1997.0,AU,EEE,48800,115620.0,OC,BOYS
BVCE,B V CHALAMAIAH ENGINEERING COLLEGE,PVT,AU,EG,ODALAREVU,COED,JNTUK,1997.0,AU,INF,48800,84411.0,OC,BOYS
BVCE,B V CHALAMAIAH ENGINEERING COLLEGE,PVT,AU,EG,ODALAREVU,COED,JNTUK,1997.0,AU,MEC,48800,126947.0,OC,BOYS
BVCR,BVC COLLEGE OF ENGINEERING,PVT,AU,EG,RAJAHMUNDRY,COED,JNTUK,2009.0,AU,AID,43000,75128.0,OC,BOYS
BVCR,BVC COLLEGE OF ENGINEERING,PVT,AU,EG,RAJAHMUNDRY,COED,JNTUK,2009.0,AU,CSE,43000,75707.0,OC,BOYS
BVCR,BVC COLLEGE OF ENGINEERING,PVT,AU,EG,RAJAHMUNDRY,COED,JNTUK,2009.0,AU,CSM,43000,78455.0,OC,BOYS
BVCR,BVC COLLEGE OF ENGINEERING,PVT,AU,EG,RAJAHMUNDRY,COED,JNTUK,2009.0,AU,ECE,43000,105760.0,OC,BOYS
BVCR,BVC COLLEGE OF ENGINEERING,PVT,AU,EG,RAJAHMUNDRY,COED,JNTUK,2009.0,AU,INF,43000,121784.0,OC,BOYS
BVTS,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI.,PVT,AU,EG,AMALAPURAM,COED,JNTUK,2002.0,AU,AIM,52800,46093.0,OC,BOYS
BVTS,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI.,PVT,AU,EG,AMALAPURAM,COED,JNTUK,2002.0,AU,CAD,52800,52009.0,OC,BOYS
BVTS,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI.,PVT,AU,EG,AMALAPURAM,COED,JNTUK,2002.0,AU,CIV,52800,126466.0,OC,BOYS
BVTS,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI.,PVT,AU,EG,AMALAPURAM,COED,JNTUK,2002.0,AU,CSE,52800,37462.0,OC,BOYS
BVTS,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI.,PVT,AU,EG,AMALAPURAM,COED,JNTUK,2002.0,AU,ECE,52800,69316.0,OC,BOYS
BVTS,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI.,PVT,AU,EG,AMALAPURAM,COED,JNTUK,2002.0,AU,EEE,52800,104895.0,OC,BOYS
BVTS,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI.,PVT,AU,EG,AMALAPURAM,COED,JNTUK,2002.0,AU,INF,52800,72055.0,OC,BOYS
CHKN,CHAITANYA INST. OF SCI. AND TECHNOLOGY,PVT,AU,EG,KAKINADA,COED,JNTUK,2005.0,AU,AID,43000,142677.0,OC,BOYS
CHKN,CHAITANYA INST. OF SCI. AND TECHNOLOGY,PVT,AU,EG,KAKINADA,COED,JNTUK,2005.0,AU,CSE,43000,140387.0,OC,BOYS
CHKN,CHAITANYA INST. OF SCI. AND TECHNOLOGY,PVT,AU,EG,KAKINADA,COED,JNTUK,2005.0,AU,ECE,43000,134603.0,OC,BOYS
GIET,GIET ENGINEERING COLLEGE,PVT,AU,EG,RAJAHMUNDRY,COED,JNTUK,2005.0,AU,CSD,51000,60948.0,OC,BOYS
GIET,GIET ENGINEERING COLLEGE,PVT,AU,EG,RAJAHMUNDRY,COED,JNTUK,2005.0,AU,CSE,51000,60668.0,OC,BOYS
GIET,GIET ENGINEERING COLLEGE,PVT,AU,EG,RAJAHMUNDRY,COED,JNTUK,2005.0,AU,CSM,51000,64867.0,OC,BOYS
GIET,GIET ENGINEERING COLLEGE,PVT,AU,EG,RAJAHMUNDRY,COED,JNTUK,2005.0,AU,INF,51000,82739.0,OC,BOYS
GIET,GIET ENGINEERING COLLEGE,PVT,AU,EG,RAJAHMUNDRY,COED,JNTUK,2005.0,AU,MEC,51000,91022.0,OC,BOYS
IDEL,IDEAL INSTITUTE OF TECHNOLOGY,PVT,AU,EG,KAKINADA,COED,JNTUK,2009.0,AU,CSE,43000,59107.0,OC,BOYS
IDEL,IDEAL INSTITUTE OF TECHNOLOGY,PVT,AU,EG,KAKINADA,COED,JNTUK,2009.0,AU,CSM,43000,73985.0,OC,BOYS
IDEL,IDEAL INSTITUTE OF TECHNOLOGY,PVT,AU,EG,KAKINADA,COED,JNTUK,2009.0,AU,ECE,43000,57918.0,OC,BOYS
IDEL,IDEAL INSTITUTE OF TECHNOLOGY,PVT,AU,EG,KAKINADA,COED,JNTUK,2009.0,AU,MEC,43000,113733.0,OC,BOYS
ISTSOC,INTERNATIONAL SCHOOL OF TECH AND SCI -OFF CAMPUS,PVT,AU,EG,JANGAREDDYGUDEM,COED,JNTUK,2024.0,AU,AIM,43000,142070.0,OC,BOYS
ISTSOC,INTERNATIONAL SCHOOL OF TECH AND SCI -OFF CAMPUS,PVT,AU,EG,JANGAREDDYGUDEM,COED,JNTUK,2024.0,AU,CSE,43000,151131.0,OC,BOYS
JNKFSF,SCHOOL OF FOOD TECHNOLOGY JNTUK KAKINADA-SELF FINANCE,SF,AU,EG,KAKINADA,COED,JNTUK,2020.0,AU,FDE,45000,67964.0,OC,BOYS
JNKPSF,SCHOOL OF PHARMACEUTICAL SCI. AND TECH.-SELF FINANCE,SF,AU,EG,KAKINADA,COED,JNTUK,2011.0,AU,PHM,45000,176248.0,OC,BOYS
JNTK,JNTUK COLLEGE OF ENGG. KAKINADA,UNIV,AU,EG,KAKINADA,COED,JNTUK,1946.0,AU,CIV,10000,13331.0,OC,BOYS
JNTK,JNTUK COLLEGE OF ENGG. KAKINADA,UNIV,AU,EG,KAKINADA,COED,JNTUK,1946.0,AU,CSE,10000,2039.0,OC,BOYS
JNTK,JNTUK COLLEGE OF ENGG. KAKINADA,UNIV,AU,EG,KAKINADA,COED,JNTUK,1946.0,AU,ECE,10000,3414.0,OC,BOYS
JNTK,JNTUK COLLEGE OF ENGG. KAKINADA,UNIV,AU,EG,KAKINADA,COED,JNTUK,1946.0,AU,EEE,10000,5330.0,OC,BOYS
JNTK,JNTUK COLLEGE OF ENGG. KAKINADA,UNIV,AU,EG,KAKINADA,COED,JNTUK,1946.0,AU,MEC,10000,13200.0,OC,BOYS
JNTKSF,JNTUK COLLEGE OF ENGG. KAKINADA-SELF FINANCE,SF,AU,EG,KAKINADA,COED,JNTUK,1946.0,AU,CHE,45000,32732.0,OC,BOYS
JNTKSF,JNTUK COLLEGE OF ENGG. KAKINADA-SELF FINANCE,SF,AU,EG,KAKINADA,COED,JNTUK,1946.0,AU,PEE,45000,61232.0,OC,BOYS
JNTKSS,JNTUK COLLEGE OF ENGG. KAKINADA-SELF SUPPORTING,SS,AU,EG,KAKINADA,COED,JNTUK,1946.0,AU,CSM,75000,4344.0,OC,BOYS
KIEK,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,PVT,AU,EG,KAKINADA,COED,JNTUK,2009.0,AU,AID,43000,124116.0,OC,BOYS
KIEK,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,PVT,AU,EG,KAKINADA,COED,JNTUK,2009.0,AU,CAI,43000,155698.0,OC,BOYS
KIEK,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,PVT,AU,EG,KAKINADA,COED,JNTUK,2009.0,AU,CSC,43000,132895.0,OC,BOYS
KIEK,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,PVT,AU,EG,KAKINADA,COED,JNTUK,2009.0,AU,CSD,43000,175446.0,OC,BOYS
KIEK,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,PVT,AU,EG,KAKINADA,COED,JNTUK,2009.0,AU,CSM,43000,146475.0,OC,BOYS
KIET,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,PVT,AU,EG,KAKINADA,COED,JNTUK,2001.0,AU,AID,52400,85843.0,OC,BOYS
KIET,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,PVT,AU,EG,KAKINADA,COED,JNTUK,2001.0,AU,CAI,52400,86079.0,OC,BOYS
KIET,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,PVT,AU,EG,KAKINADA,COED,JNTUK,2001.0,AU,CSC,52400,89558.0,OC,BOYS
KIET,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,PVT,AU,EG,KAKINADA,COED,JNTUK,2001.0,AU,CSD,52400,118085.0,OC,BOYS
KIET,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,PVT,AU,EG,KAKINADA,COED,JNTUK,2001.0,AU,CSM,52400,167479.0,OC,BOYS
KISR,KAKINADA INSTITUTE OF TECHNOLOGY SCIENCES,PVT,AU,EG,RAMACHANDRAPURAM,COED,JNTUK,2008.0,AU,CSE,43000,139261.0,OC,BOYS
KISR,KAKINADA INSTITUTE OF TECHNOLOGY SCIENCES,PVT,AU,EG,RAMACHANDRAPURAM,COED,JNTUK,2008.0,AU,ECE,43000,118590.0,OC,BOYS
KTSP,KAKINADA INSTITUTE OF TECHNOLOGY AND SCIENCE,PVT,AU,EG,DIVILI,COED,JNTUK,2008.0,AU,CIV,43000,149191.0,OC,BOYS
KTSP,KAKINADA INSTITUTE OF TECHNOLOGY AND SCIENCE,PVT,AU,EG,DIVILI,COED,JNTUK,2008.0,AU,CSE,43000,108657.0,OC,BOYS
KTSP,KAKINADA INSTITUTE OF TECHNOLOGY AND SCIENCE,PVT,AU,EG,DIVILI,COED,JNTUK,2008.0,AU,ECE,43000,102445.0,OC,BOYS
KTSP,KAKINADA INSTITUTE OF TECHNOLOGY AND SCIENCE,PVT,AU,EG,DIVILI,COED,JNTUK,2008.0,AU,EEE,43000,119718.0,OC,BOYS
KTSP,KAKINADA INSTITUTE OF TECHNOLOGY AND SCIENCE,PVT,AU,EG,DIVILI,COED,JNTUK,2008.0,AU,MEC,43000,156488.0,OC,BOYS
LENO,LENORA COLLEGE OF ENGINEERING,PVT,AU,EG,RAMPACHODAVARAM,COED,JNTUK,2000.0,AU,CIV,43000,177255.0,OC,BOYS
LENO,LENORA COLLEGE OF ENGINEERING,PVT,AU,EG,RAMPACHODAVARAM,COED,JNTUK,2000.0,AU,CSE,43000,147210.0,OC,BOYS
LENO,LENORA COLLEGE OF ENGINEERING,PVT,AU,EG,RAMPACHODAVARAM,COED,JNTUK,2000.0,AU,ECE,43000,82045.0,OC,BOYS
LENO,LENORA COLLEGE OF ENGINEERING,PVT,AU,EG,RAMPACHODAVARAM,COED,JNTUK,2000.0,AU,EEE,43000,174707.0,OC,BOYS
LENO,LENORA COLLEGE OF ENGINEERING,PVT,AU,EG,RAMPACHODAVARAM,COED,JNTUK,2000.0,AU,MEC,43000,161034.0,OC,BOYS
PRAG,PRAGATI ENGINEERING COLLEGE,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2001.0,AU,CAI,77800,29246.0,OC,BOYS
PRAG,PRAGATI ENGINEERING COLLEGE,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2001.0,AU,CIV,77800,91293.0,OC,BOYS
PRAG,PRAGATI ENGINEERING COLLEGE,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2001.0,AU,CSC,77800,36883.0,OC,BOYS
PRAG,PRAGATI ENGINEERING COLLEGE,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2001.0,AU,CSD,77800,36294.0,OC,BOYS
PRAG,PRAGATI ENGINEERING COLLEGE,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2001.0,AU,CSE,77800,25332.0,OC,BOYS
PRAG,PRAGATI ENGINEERING COLLEGE,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2001.0,AU,CSM,77800,26568.0,OC,BOYS
PRAG,PRAGATI ENGINEERING COLLEGE,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2001.0,AU,ECE,77800,30816.0,OC,BOYS
PRAG,PRAGATI ENGINEERING COLLEGE,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2001.0,AU,EEE,77800,48462.0,OC,BOYS
PRAG,PRAGATI ENGINEERING COLLEGE,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2001.0,AU,INF,77800,37722.0,OC,BOYS
PRAG,PRAGATI ENGINEERING COLLEGE,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2001.0,AU,MEC,77800,78209.0,OC,BOYS
PREC,DR PAUL RAJS ENGINEERING COLLEGE,PVT,AU,EG,YETAPAKA,COED,JNTUK,1997.0,AU,CIV,43000,161879.0,OC,BOYS
PREC,DR PAUL RAJS ENGINEERING COLLEGE,PVT,AU,EG,YETAPAKA,COED,JNTUK,1997.0,AU,CSE,43000,139498.0,OC,BOYS
PREC,DR PAUL RAJS ENGINEERING COLLEGE,PVT,AU,EG,YETAPAKA,COED,JNTUK,1997.0,AU,ECE,43000,113382.0,OC,BOYS
PREC,DR PAUL RAJS ENGINEERING COLLEGE,PVT,AU,EG,YETAPAKA,COED,JNTUK,1997.0,AU,EEE,43000,155306.0,OC,BOYS
PREC,DR PAUL RAJS ENGINEERING COLLEGE,PVT,AU,EG,YETAPAKA,COED,JNTUK,1997.0,AU,MEC,43000,152025.0,OC,BOYS
PYDE,PYDAH COLL OF ENGINEERING,PVT,AU,EG,KAKINADA,COED,JNTUK,2009.0,AU,CAI,43000,90233.0,OC,BOYS
PYDE,PYDAH COLL OF ENGINEERING,PVT,AU,EG,KAKINADA,COED,JNTUK,2009.0,AU,CSE,43000,82562.0,OC,BOYS
PYDE,PYDAH COLL OF ENGINEERING,PVT,AU,EG,KAKINADA,COED,JNTUK,2009.0,AU,ECE,43000,123192.0,OC,BOYS
PYDE,PYDAH COLL OF ENGINEERING,PVT,AU,EG,KAKINADA,COED,JNTUK,2009.0,AU,MEC,43000,147965.0,OC,BOYS
RIET,RAJAMAHENDRI INST OF ENGG AND TECHNOLOGY,PVT,AU,EG,RAJAHMUNDRY,COED,JNTUK,2008.0,AU,CSD,43000,103446.0,OC,BOYS
RIET,RAJAMAHENDRI INST OF ENGG AND TECHNOLOGY,PVT,AU,EG,RAJAHMUNDRY,COED,JNTUK,2008.0,AU,CSE,43000,95688.0,OC,BOYS
RIET,RAJAMAHENDRI INST OF ENGG AND TECHNOLOGY,PVT,AU,EG,RAJAHMUNDRY,COED,JNTUK,2008.0,AU,CSM,43000,103249.0,OC,BOYS
RIET,RAJAMAHENDRI INST OF ENGG AND TECHNOLOGY,PVT,AU,EG,RAJAHMUNDRY,COED,JNTUK,2008.0,AU,ECE,43000,112643.0,OC,BOYS
SRIN,SRINIVASA INST OF ENGG AND TECHNOLOGY,PVT,AU,EG,CHEYYERU,COED,JNTUK,2009.0,AU,AIM,45700,149174.0,OC,BOYS
SRIN,SRINIVASA INST OF ENGG AND TECHNOLOGY,PVT,AU,EG,CHEYYERU,COED,JNTUK,2009.0,AU,CIV,45700,166759.0,OC,BOYS
SRIN,SRINIVASA INST OF ENGG AND TECHNOLOGY,PVT,AU,EG,CHEYYERU,COED,JNTUK,2009.0,AU,CSE,45700,90042.0,OC,BOYS
SRIN,SRINIVASA INST OF ENGG AND TECHNOLOGY,PVT,AU,EG,CHEYYERU,COED,JNTUK,2009.0,AU,ECE,45700,161667.0,OC,BOYS
SRIN,SRINIVASA INST OF ENGG AND TECHNOLOGY,PVT,AU,EG,CHEYYERU,COED,JNTUK,2009.0,AU,MEC,45700,150585.0,OC,BOYS
VSMR,V.S.M COLLEGE OF ENGINEERING,PVT,AU,EG,RAMACHANDRAPURAM,COED,JNTUK,2009.0,AU,CIV,65800,134762.0,OC,BOYS
VSMR,V.S.M COLLEGE OF ENGINEERING,PVT,AU,EG,RAMACHANDRAPURAM,COED,JNTUK,2009.0,AU,CSD,65800,111638.0,OC,BOYS
