INSTCODE,NAME OF THE INSTITUTION,TYPE,INST_REG,DIST,PLACE,COED,AFFL.,ESTD,A_REG,branch_code,COLLFEE,cutoff_rank,category,gender,Demand_Level
ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EG,GOLLAPROLU,COED,JNTUK,2008,AU,CIV,43000,146103,OC,BOYS,Low
ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EG,GOLLAPROLU,COED,JNTUK,2008,AU,CSE,43000,128861,OC,BOYS,Low
ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EG,GOLLAPROLU,COED,JNTUK,2008,AU,ECE,43000,161894,OC,BOYS,Low
ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EG,GOLLAPROLU,COED,JNTUK,2008,AU,MEC,43000,152545,OC,BOYS,Low
ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2004,AU,CIV,53500,71458,OC,BOYS,High
ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2004,AU,CSD,53500,38871,OC,BOYS,High
ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2004,AU,CSE,53500,25298,OC,BOYS,High
ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2004,AU,CSM,53500,32023,OC,BOYS,High
ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2004,AU,ECE,53500,42426,OC,BOYS,High
ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2004,AU,EEE,53500,49158,OC,BOYS,High
ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2004,AU,INF,53500,37216,OC,BOYS,High
ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2004,AU,MEC,53500,65182,OC,BOYS,High
ACPS,ADITYA COLLEGE OF PHARMACY,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2006,AU,PHD,38000,80115,OC,BOYS,Low
ANURSF,ADI KAVI NANNAYA UNIVERSITY COLLEGE OF ENGG.-SELF FINANCE,SF,AU,EG,RAJAHMUNDRY,COED,AKNU,2016,AU,CIV,35000,107746,OC,BOYS,Medium
